epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.3737333333333334,4.583715776675349,0.001,0.35,1.5569599232130695
2,0.3853333333333332,1.4552844142412023,0.001,0.402,1.4276296061535445
3,0.41746666666666676,1.3996910144086263,0.001,0.43,1.4054244047218567
4,0.4439999999999998,1.3411825875115215,0.001,0.43,1.4225568301352
5,0.43559999999999993,1.358976391702663,0.001,0.486,1.3486787174344417
6,0.44613333333333316,1.3409042524101757,0.001,0.43,1.4923246395585017
7,0.4711999999999999,1.2983201787459853,0.001,0.454,1.3920791082073702
8,0.4604000000000001,1.317551466967575,0.001,0.452,1.3928902000671939
9,0.4385333333333332,1.3544822152961737,0.001,0.436,1.3725990322470085
10,0.47119999999999995,1.2827892225970796,0.001,0.434,1.3492225736955719
11,0.4929333333333332,1.2633573782136798,0.001,0.412,1.412667282487666
12,0.49146666666666655,1.2668838902009631,0.001,0.456,1.3501042064344868
13,0.49933333333333324,1.2595551890992247,0.001,0.474,1.3437441154283665
14,0.49346666666666655,1.2543432574439692,0.001,0.474,1.3451877610469825
15,0.4885333333333334,1.2550529074451497,0.001,0.478,1.375583584141646
16,0.5005333333333334,1.2387601219950584,0.001,0.436,1.370377497406091
17,0.47986666666666666,1.2784999384367681,0.001,0.47,1.3444644294949206
18,0.5129333333333332,1.208627508055378,0.001,0.498,1.288183300666692
19,0.49653333333333316,1.2392356495105483,0.001,0.53,1.2584129204595216
20,0.5165333333333332,1.2069547105140952,0.001,0.482,1.316112300372456
21,0.528,1.1821846559867162,0.001,0.452,1.3335224825131302
22,0.5187999999999999,1.1983898768797756,0.001,0.468,1.3101004494205344
23,0.5539999999999998,1.1308529781974124,0.001,0.492,1.2792266497959586
24,0.5309333333333334,1.1719446546615435,0.001,0.51,1.2429668905692428
25,0.5367999999999997,1.159051409445171,0.001,0.52,1.2016032730865998
26,0.5434666666666668,1.154991035719879,0.001,0.502,1.2470500911836775
27,0.5334666666666663,1.1635529933260904,0.001,0.496,1.2589752496540318
28,0.5378666666666665,1.150341866025764,0.001,0.528,1.2269354179836833
29,0.5493333333333332,1.1264528720263833,0.001,0.494,1.2980057074538671
30,0.5601333333333334,1.0918368925118003,0.001,0.456,1.339548737536709
31,0.5449333333333334,1.1285787932606512,0.001,0.502,1.2085229924646645
32,0.5293333333333333,1.160823077673654,0.001,0.518,1.1770431715686913
33,0.5598666666666665,1.1004029720864243,0.001,0.518,1.214783469762691
34,0.5481333333333331,1.1160277469341642,0.001,0.508,1.246880338945242
35,0.5572000000000001,1.1085463441963697,0.001,0.48,1.280174987551139
36,0.5502666666666667,1.1351480412979895,0.001,0.482,1.2318913221076813
37,0.5609333333333333,1.1056161603771064,0.001,0.548,1.1670531283856
38,0.5578666666666666,1.1089659124174998,0.001,0.5,1.2627686649446428
39,0.5609333333333335,1.1083782417384915,0.001,0.532,1.1902841636376131
40,0.5669333333333333,1.0776868143344591,0.0005,0.536,1.151517781796567
41,0.5783999999999999,1.0632113729988701,0.0005,0.518,1.2002266928891727
42,0.5654666666666667,1.0617849669636654,0.0005,0.502,1.212747217216013
43,0.5935999999999999,1.0340460556650448,0.0005,0.528,1.2342804875916709
44,0.6009333333333335,1.0194222147928178,0.0005,0.546,1.198136156873317
45,0.5770666666666666,1.0453917533395092,0.0005,0.538,1.1864578190149477
46,0.5926666666666667,1.0215593812038515,0.0005,0.574,1.1172624111335911
47,0.5983999999999999,1.0219460693635256,0.0005,0.572,1.1281706406759358
48,0.5932,1.0440792133324148,0.0005,0.536,1.1753163355462408
49,0.5834666666666666,1.0537501855906375,0.0005,0.514,1.187507200280174
50,0.6045333333333333,1.0161709974326518,0.0005,0.576,1.0740132411175503
51,0.6055999999999999,1.0239345423863906,0.0005,0.526,1.2272415228916234
52,0.6016000000000001,1.0235323182260547,0.0005,0.56,1.1983363874771502
53,0.6005333333333333,1.0138593240312366,0.0005,0.514,1.2101864312160513
54,0.6153333333333333,0.9978251719844761,0.0005,0.53,1.1389542736131713
55,0.5977333333333334,1.0196213399466032,0.0005,0.574,1.1138576240863534
56,0.6046666666666667,0.9918217199751378,0.0005,0.574,1.148956023610005
57,0.5966666666666668,1.020078608748503,0.0005,0.53,1.206680784067314
58,0.5964,1.0218370406827784,0.0005,0.546,1.166181376610943
59,0.6096,0.9952473955491327,0.0005,0.6,1.0673600723194576
60,0.587733333333333,1.0419697198724667,0.0005,0.544,1.139992202090136
61,0.6144000000000002,0.9823733909517732,0.0005,0.56,1.1723480559810702
62,0.5878666666666665,1.0450159880868415,0.0005,0.53,1.1628140616961955
63,0.6129333333333333,0.9870094932516562,0.0005,0.552,1.1707478678915046
64,0.6022666666666665,1.01209127284425,0.0005,0.554,1.1481776948821327
65,0.6034666666666669,1.0201763420028798,0.0005,0.568,1.1423707385376838
66,0.6036,0.9999072401796948,0.0005,0.568,1.1004911371748105
67,0.6098666666666667,0.9958743997801832,0.0005,0.552,1.1496725208611238
68,0.6252,0.9558313305941057,0.0005,0.602,1.1088843378349713
69,0.6168000000000002,0.9828257183851739,0.0005,0.582,1.1421824038528219
70,0.6220000000000001,0.9726378527965086,0.0005,0.542,1.1389516642281128
71,0.6304000000000001,0.9429394989539103,0.0005,0.536,1.1709490578152875
72,0.5970666666666665,1.0169020083468996,0.0005,0.604,1.084405575870389
73,0.6185333333333333,0.9627608499954838,0.0005,0.528,1.1470593384813756
74,0.6161333333333333,0.980303311946886,0.0005,0.59,1.0842858500584902
75,0.6165333333333334,0.9667092782360075,0.0005,0.596,1.0928545009095898
76,0.6306666666666665,0.941897167502199,0.0005,0.562,1.119072751445883
77,0.6058666666666663,1.0070826811326041,0.0005,0.534,1.1985645562865141
78,0.6222666666666667,0.9682004312655788,0.0005,0.56,1.1342874803150167
79,0.6431999999999999,0.9194442381997557,0.0005,0.58,1.0732402224780857
80,0.6190666666666668,0.9737357343652933,0.00025,0.61,1.04609648454163
